"Product Name",Category,"Parts No","Rack No","Column No","Available unit","Unit type","Brand Name"
"Hydrolic Solonide Valve ",Electrical,,,,,0.00,Pcs,
"Thermal Overload Relay 12-18",Electrical,,,,,0.00,Pcs,
"Over Load Relay 2.5 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 12-18",Electrical,,,,,0.00,Pcs,
"Over Load Relay 0.54-0.08 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 0.63-1 A",Electrical,,,,,0.00,Pcs,
"Over Load Relay 4-6 A",Electrical,,,,,0.00,Pcs,
"Fuse 40A HRC",Electrical,,,,,0.00,Pcs,
"High Voltage Generator ",Electrical,,,,,0.00,Pcs,
"Controll Box",Electrical,,,,,0.00,Pcs,
"Bereal Heater ",Electrical,,,,,0.00,Pcs,
"Thread Tape",Electrical,,,,,0.00,Pcs,
"pvc Tape",Electrical,,,,,0.00,Pcs,
"Bed Switch ",Electrical,,,,,0.00,Pcs,
"2 Pin Socket",Electrical,,,,,0.00,Pcs,
"2 Pin Plug",Electrical,,,,,0.00,Pcs,
"Led Power Supply ",Electrical,,,,,0.00,Pcs,
Holder,Electrical,,,,,0.00,Pcs,
"Peano Switch",Electrical,,,,,0.00,Pcs,
Cable.,Electrical,,,,,0.00,Pcs,
"Multi Socket",Electrical,,,,,0.00,Pcs,
"Soldering Iron small / Big",Electrical,,,,,0.00,Pcs,
"Led Sarfas ",Electrical,,,,,0.00,Pcs,
"Dryer Filter ",Electrical,,,,,0.00,Pcs,
"CPU Module(24v supply)",Electrical,,,,,0.00,Pcs,
"Ceramic Heater Cover",Electrical,,,,,0.00,Pcs,
"1 way Switch",Electrical,,,,,0.00,Pcs,
"Carbon Plate",Electrical,,,,,0.00,Pcs,
"Carbon Seal (Ata Lamination)",Electrical,,,,,0.00,Pcs,
"SDB Box",Electrical,,,,,0.00,Pcs,
"Carbon Seal Big",Electrical,,,,,0.00,Pcs,
"ONN/OFF Switch",Electrical,,,,,0.00,Pcs,
"Motor Protactor 25-32",Electrical,,,,,0.00,Pcs,
"Diod Cable",Electrical,,,,,0.00,Pcs,
"Battery ",Electrical,,,,,0.00,Pcs,
"RTV Gum",Electrical,,,,,0.00,Pcs,
"Silicon Gum",Electrical,,,,,0.00,Pcs,
"Pilot Rode",Electrical,,,,,0.00,Pcs,
"Break Show",Electrical,,,,,0.00,Pcs,
"Relay (U-2)",Electrical,,,,,0.00,Pcs,
"Pigesion Air Regulator",Electrical,,,,,0.00,Pcs,
Diod,Electrical,,,,,0.00,Pcs,
"Motor Fan Plastic",Electrical,,,,,0.00,Pcs,
Digit,Electrical,,,,,0.00,Pcs,
"Double Stick Air Cylinder",Electrical,,,,,0.00,Pcs,
"High Pressure Mitre",Electrical,,,,,0.00,Pcs,
"HT Cable",Electrical,,,,,0.00,Pcs,
"Limit Switch (U-2)",Electrical,,,,,0.00,Pcs,
"Pest Killer",Electrical,,,,,0.00,Pcs,
Retrifire,Electrical,,,,,0.00,Pcs,
"Sensor Cable",Electrical,,,,,0.00,Pcs,
"P.C.B Card",Electrical,,,,,0.00,Pcs,
"Hydrolic Bais",Electrical,,,,,0.00,Pcs,
"Heat Proof Pipe",Electrical,,,,,0.00,Pcs,
"Flash Light(U-2)",Electrical,,,,,0.00,Pcs,
"Zener ",Electrical,,,,,0.00,Pcs,
"Clutch Magnet",Electrical,,,,,0.00,Pcs,
"Positioner Single Acting",Electrical,,,,,0.00,Pcs,
"Carbon For Bond LAMI",Electrical,,,,,0.00,Pcs,
"LED Metal Light 100w colour",Electrical,,,,,0.00,Pcs,
"Apperal Unit",Electrical,,,,,0.00,Pcs,
"NICROM WIRE",Electrical,,,,,0.00,Pcs,
"Rotary Joint(Lami)",Electrical,,,,,0.00,Pcs,
"Bulb 5W",Electrical,,,,,0.00,Pcs,
Supporter,Electrical,,,,,0.00,Pcs,
"Power Supply ",Electrical,,,,,0.00,Pcs,
"Liner Bolt",Electrical,,,,,0.00,Pcs,
"Air Cylinder (B.C.S)",Electrical,,,,,0.00,Pcs,
"Ear Muff",Electrical,,,,,0.00,Pcs,
"Oil Filter",Electrical,,,,,0.00,Pcs,
"Air Filter ",Electrical,,,,,0.00,Pcs,
"Oil Pressure Mitre",Electrical,,,,,0.00,Pcs,
"Pneumatic Cylinder",Electrical,,,,,0.00,Pcs,
"Ring Set",Electrical,,,,,0.00,Pcs,
"Ceramic holder",Electrical,,,,,0.00,Pcs,
"Filter Guess Generator",Electrical,,,,,0.00,Pcs,
"Tourch Light",Electrical,,,,,0.00,Pcs,
M-Seal,Electrical,,,,,0.00,Pcs,
Fan,Electrical,,,,,0.00,Pcs,
"WD 40 spray",Electrical,,,,,0.00,Pcs,
"Magnate Sensor Valbe",Electrical,,,,,0.00,Pcs,
"SCALE BATTERY",Electrical,,,,,0.00,Pcs,
"Vacump Pump for AC",Electrical,,,,,0.00,Pcs,
"Heat proof tape",Electrical,,,,,0.00,Pcs,
"IC ",Electrical,,,,,0.00,Pcs,
"Soldering Past ",Electrical,,,,,0.00,Pcs,
"Cooling Tower Infill For 200 RT",Electrical,,,,,0.00,Pcs,
"Thermo Overload ABB",Electrical,,,,,0.00,Pcs,
"Oil Separator",Electrical,,,,,0.00,Pcs,
"Copmpressure R-22",Electrical,,,,,0.00,Pcs,
"Helogin Light Set",Electrical,,,,,0.00,Pcs,
"Variable Frequency drive Inverter 0.75",Electrical,,,,,0.00,Pcs,
"Diot Relay ",Electrical,,,,,0.00,Pcs,
"Cilicon Spray",Electrical,,,,,0.00,Pcs,
"R-22 All Gas",Electrical,,,,,0.00,Pcs,
"Automatic Drain Valve ",Electrical,,,,,0.00,Pcs,
"TTL Converter Mod Mitsubishi",Electrical,,,,,0.00,Pcs,
"Niho Tape",Electrical,,,,,0.00,Pcs,
"AC Parts Valve , Nut, etc",Electrical,,,,,0.00,Pcs,
"Cooling Tower Air Inlet Louver For 200 RT",Electrical,,,,,0.00,Pcs,
"Filter Mesh",Electrical,,,,,0.00,Pcs,
"Tester ",Electrical,,,,,0.00,Pcs,
"Switch Board 8 Hole",Electrical,,,,,0.00,Pcs,
"Flame Proof Ex 3 Phase Elc Motor",Electrical,,,,,0.00,Pcs,
"IC   SMD / Hoc 3021, Noc 3031",Electrical,,,,,0.00,Pcs,
"3200 ATP ACB",Electrical,,,,,0.00,Pcs,
"Slitter Winder Card U-2",Electrical,,,,,0.00,Pcs,
"Spot valve 7W",Electrical,,,,,0.00,Pcs,
"RMBL Board baldwin ",Electrical,,,,,0.00,Pcs,
"2 Pin Relay 24V DC Tape Plant ",Electrical,,,,,0.00,Pcs,
"Adjest Fan",Electrical,,,,,0.00,Pcs,
"Power Supply ",Electrical,,,,,0.00,Pcs,
"Non Niting Valbe ",Electrical,,,,,0.00,Pcs,
"Macanical Valbe ",Electrical,,,,,0.00,Pcs,
"Magnetic Contactor 220-24",Electrical,,,,,0.00,Pcs,
"Circuit Breaker  0A. 1 Pole",Electrical,,,,,0.00,Pcs,
"Circuit Breaker  0A. 2 Pole",Electrical,,,,,0.00,Pcs,
"Circuit Breaker  0A. 3 Pole",Electrical,,,,,0.00,Pcs,
"Circuit Breaker MCCB 0A. 3 Pole",Electrical,,,,,0.00,Pcs,
"Ethernet Controller Wago Cpu",Electrical,,,,,0.00,Pcs,
"SSR Relay 32A",Electrical,,,,,0.00,Pcs,
"GFC Fan/ Jony Fan/ Jali Fan",Electrical,,,,,0.00,Pcs,
"Contact Clenear ",Electrical,,,,,0.00,Pcs,
"Spark Plug",Electrical,,,,,0.00,Pcs,
"Inverter 1.5kw FRN",Electrical,,,,,0.00,Pcs,
"Locktite 243",Electrical,,,,,0.00,Pcs,
"15A Round Pin Socket",Electrical,,,,,0.00,Pcs,
"High Voltage Wair",Electrical,,,,,0.00,Pcs,
"12 Pin Relay Base",Electrical,,,,,0.00,Pcs,
"12 Pin Relay",Electrical,,,,,0.00,Pcs,
"Jamick 300KG Load Cell",Electrical,,,,,0.00,Pcs,
"Led Drive ",Electrical,,,,,0.00,Pcs,
"Led Chipes ",Electrical,,,,,0.00,Pcs,
"Tourch Head Light ",Electrical,,,,,0.00,Pcs,
"U sensor",Electrical,,,,,0.00,Pcs,
"Cat-6 Cable cap",Electrical,,,,,0.00,Pcs,
"Heat sing Past / Compound ",Electrical,,,,,0.00,Pcs,
"SSR Relay 100A 2 Fass",Electrical,,,,,0.00,Pcs,
"PLC Delta Stepper Motor PLC",Electrical,,,,,0.00,Pcs,
"Heat Prof Cable 4Rm",Electrical,,,,,0.00,Pcs,
"Heater Connection",Electrical,,,,,0.00,Pcs,
"Panduit IM Cat-6 UTP",Electrical,,,,,0.00,Pcs,
"Drive (Sample)",Electrical,,,,,0.00,Pcs,
"PVC Relay 24V",Electrical,,,,,0.00,Pcs,
"Counter Flow Colling Tower Infill",Electrical,,,,,0.00,Pcs,
"Motor Capacitor 2.5uf",Electrical,,,,,0.00,Pcs,
"Motor Capacitor 1.5uf",Electrical,,,,,0.00,Pcs,
"Led Indicator Light 24V DC",Electrical,,,,,0.00,Pcs,
"Aintermind Base and Rode",Electrical,,,,,0.00,Pcs,
"Eanthing Board",Electrical,,,,,0.00,Pcs,
"SBD Bord",Electrical,,,,,0.00,Pcs,
"5 Line Hand Valve",Electrical,,,,,0.00,Pcs,
"ABB Sace SPA Coil 110-120v",Electrical,,,,,0.00,Pcs,
"Taflon Shaft / Sheet",Electrical,,,,,0.00,Pcs,
"Cup Card D700 Mistubishe",Electrical,,,,,0.00,Pcs,
"Non Return Valve",Electrical,,,,,0.00,Pcs,
"Jumpring Cable ",Electrical,,,,,0.00,Pcs,
"Timer Base",Electrical,,,,,0.00,Pcs,
Regestor,Electrical,,,,,0.00,Pcs,
"Padroll Pump",Electrical,,,,,0.00,Pcs,
"Ebonet ",Electrical,,,,,13.00,Pcs,
"Unit Coil Micke ",Electrical,,,,,0.00,Pcs,
"Solenoid Valve ",Electrical,,,,,2.00,Pcs,
"Magnatic Contact ABB 8Kw",Electrical,,,,,0.00,Pcs,
"Valve Blocked 220v",Electrical,,,,,1.00,Pcs,
"100w Led flood Light ",Electrical,,,,,0.00,Pcs,
"Pressure Switch",Electrical,,,,,1.00,pes,
"HMI PLC Display ",Electrical,,,,,0.00,Pcs,
"Pnemuatic aw4000-04",Electrical,,,,,3.00,Pcs,
"PLC Controller ",Electrical,,,,,0.00,Pcs,
" Circuit Breaker",Electrical,,,,,1.00,Pcs,
"PLC Connecting Wire ",Electrical,,,,,0.00,Pcs,
Cable,Electrical,,,,,3.00,Pcs,
"plc Display Jack",Electrical,,,,,0.00,Pcs,
"Procese Indicator /RPM mIter",Electrical,,,,,1.00,Pcs,
"Electronic Transformer ",Electrical,,,,,0.00,Pcs,
"Solenoid Valve ",Electrical,,,,,4.00,Pcs,
"Pressure Transmiller Sensor ",Electrical,,,,,0.00,Pcs,
"Panel 24DC",Electrical,,,,,1.00,Pcs,
"Control Cable ",Electrical,,,,,0.00,Pcs,
"Voltage Range Ac 220v",Electrical,,,,,3.00,Pcs,
"Filter Drier coer",Electrical,,,,,0.00,Pcs,
"Warning Light ",Electrical,,,,,2.00,Pcs,
"Nitrogen Cylendr ",Electrical,,,,,0.00,Pcs,
" Filter Regulator ",Electrical,,,,,1.00,Pcs,
"Compressor Bearing Set",Electrical,,,,,0.00,Pcs,
"Lamp Holder ",Electrical,,,,,3.00,Pcs,
"2 Ton Capacity Waist Motor pump",Electrical,,,,,0.00,Pcs,
"Get Valve ",Electrical,,,,,7.00,Pcs,
"Auto Fan Motor Machine ",Electrical,,,,,0.00,Pcs,
"Hand lever valve ",Electrical,,,,,12.00,Pcs,
"3 Stick Cylinder",Electrical,,,,,0.00,Pcs,
"Relay 8pin ",Electrical,,,,,10.00,Pcs,
"Rotery Switch ",Electrical,,,,,0.00,Pcs,
"Contack Block ",Electrical,,,,,27.00,Pcs,
"Countar Timier Metar ",Electrical,,,,,0.00,Pcs,
"Capacitor 10 uf",Electrical,,,,,13.00,Pcs,
"Capacitor 45 uf",Electrical,,,,,6.00,Pcs,
"Capacitor 80 uf",Electrical,,,,,5.00,Pcs,
"Capacitor 70 uf",Electrical,,,,,1.00,Pcs,
"Capacitor 16 uf",Electrical,,,,,4.00,Pcs,
"Photo Sensor",Electrical,,,,,2.00,Pcs,
"Carbon Battery ",Electrical,,,,,20.00,Pcs,
"Proximity switch ",Electrical,,,,,5.00,Pcs,
"Photo Sensor",Electrical,,,,,12.00,Pcs,
"Solenoid Valve ",Electrical,,,,,4.00,Pcs,
Sensor,Electrical,,,,,2.00,Pcs,
"Penumatic D24V",Electrical,,,,,4.00,Pcs,
"Proximity switch  SN-04P",Electrical,,,,,8.00,Pcs,
"Water Solenoid Valve ",Electrical,,,,,2.00,Pcs,
"Hand lever valve ",Electrical,,,,,6.00,Pcs,
"2/2 way Solenoid Valve",Electrical,,,,,2.00,Pcs,
"Hand lever valve ",Electrical,,,,,3.00,Pcs,
"Magentic Sensor",Electrical,,,,,12.00,Pcs,
"Cable Ties5*200MM",Electrical,,,,,400.00,Pcs,
"Cable Ties5*300MM",Electrical,,,,,387.00,Pcs,
"Cable Ties3*100MM",Electrical,,,,,200.00,Pcs,
"Photo Sensor",Electrical,,,,,3.00,Pcs,
Cable,Electrical,,,,,2.00,Pcs,
"All size Ampire Tube",Electrical,,,,,326.00,Pcs,
"LED Drive",Electrical,,,,,19.00,Pcs,
"Cable Clips",Electrical,,,,,300.00,Pcs,
Cable,Electrical,,,,,19.00,Pcs,
"Small Cable Lug",Electrical,,,,,146.00,Pcs,
"Big  Cable Lug",Electrical,,,,,23.00,Pcs,
"All size Fuse ",Electrical,,,,,83.00,Pcs,
"Pc valve ",Electrical,,,,,1.00,Pcs,
"Panel meter ",Electrical,,,,,2.00,Pcs,
"penumatic AL2000-02",Electrical,,,,,2.00,Pcs,
"Jacket Heater",Electrical,,,,,2.00,Pcs,
"La38 small Series Button ",Electrical,,,,,10.00,Pcs,
"La38 Big  Series Button ",Electrical,,,,,12.00,Pcs,
"Fuse base ",Electrical,,,,,7.00,Pcs,
"Fuse BG*P",Electrical,,,,,4.00,Pcs,
"Fuse LINK Andeli 16A",Electrical,,,,,9.00,Pcs,
"Fuse LINK 80A",Electrical,,,,,1.00,Pcs,
"Fuse 500V AC",Electrical,,,,,70.00,Pcs,
"Fuse Small",Electrical,,,,,74.00,Pcs,
Stater,Electrical,,,,,0.00,Pcs,
"PVC Contactor",Electrical,,,,,5.00,Pcs,
"Ciramic ",Electrical,,,,,670.00,Pcs,
"Side Mount Auxilary",Electrical,,,,,1.00,Pcs,
"Auxilary Contack Block",Electrical,,,,,7.00,Pcs,
SSR,Electrical,,,,,9.00,Pcs,
"Thermal Overload Relay ",Electrical,,,,,3.00,Pcs,
"Thermal Overload Relay -",Electrical,,,,,2.00,Pcs,
"Thermal Overload Relay -52M",Electrical,,,,,4.00,Pcs,
"Thermal Overload Relay -5M",Electrical,,,,,2.00,Pcs,
"Thermal Overload Relay -25M",Electrical,,,,,2.00,Pcs,
"MOtor Starter 12A",Electrical,,,,,3.00,Pcs,
"Contactor A*25-30-10",Electrical,,,,,1.00,Pcs,
"Contactor AC 220V",Electrical,,,,,4.00,Pcs,
"AIR Break (power )Contactor ",Electrical,,,,,2.00,Pcs,
"Magentic  Contactor 90A",Electrical,,,,,1.00,Pcs,
"Magentic  Contactor 18A",Electrical,,,,,4.00,Pcs,
"MCB C10",Electrical,,,,,3.00,Pcs,
"MCB TP 10",Electrical,,,,,3.00,Pcs,
"Motor Circuit Breaker",Electrical,,,,,12.00,Pcs,
"AC Magentic Starter",Electrical,,,,,2.00,Pcs,
"Anticutter Ac ",Electrical,,,,,36.00,set,
"Anticutter Ac /Dc ",Electrical,,,,,3.00,Pcs,
"Push Button Switch",Electrical,,,,,5.00,Pcs,
"on off Push Button Switch",Electrical,,,,,7.00,Pcs,
"Magentic  Contactor DC 24",Electrical,,,,,10.00,box,
FR-56V1.4,Electrical,,,,,3.00,Pcs,
"Time Delay Block ",Electrical,,,,,11.00,Pcs,
"Monitoring Relay ",Electrical,,,,,1.00,Pcs,
"Auxilary Contack Block",Electrical,,,,,31.00,Pcs,
"heater Plug ",Electrical,,,,,5.00,set,
"Starter Holder ",Electrical,,,,,8.00,Pcs,
"Battary Clip",Electrical,,,,,10.00,Pcs,
Sensor,Electrical,,,,,3.00,Pcs,
"Auxilary ",Electrical,,,,,10.00,Pcs,
"Mounter Auxilary ",Electrical,,,,,5.00,Pcs,
"Sace Tmaxxt 1c160",Electrical,,,,,4.00,Pcs,
"Magentic  Contactor SC-N2S",Electrical,,,,,4.00,Pcs,
"Pressure Contoller ",Electrical,,,,,9.00,Pcs,
"Magentic  Connector 24v dc",Electrical,,,,,2.00,Pcs,
"Contactor 32A",Electrical,,,,,7.00,Pcs,
"Two  PIN plug",Electrical,,,,,8.00,Pcs,
"Infrared Lamp ",Electrical,,,,,3.00,Pcs,
"Heating Lamp ",Electrical,,,,,1.00,Pcs,
"on off  Switch",Electrical,,,,,0.00,Pcs,
"Stater ",Electrical,,,,,16.00,Pcs,
"Anticutter Light ",Electrical,,,,,16.00,Pcs,
"Ic timer 60f",Electrical,,,,,5.00,Pcs,
"Timer AC 220V ",Electrical,,,,,5.00,Pcs,
"Sensor Amplifir ",Electrical,,,,,1.00,Pcs,
"Temerature Controller ",Electrical,,,,,1.00,Pcs,
"Volt Meter",Electrical,,,,,3.00,Pcs,
"Temerature Controller  AC 110",Electrical,,,,,1.00,Pcs,
"Temerature Controller  50V 146",Electrical,,,,,7.00,Pcs,
"Temerature Controller  100  240 V",Electrical,,,,,8.00,Pcs,
"Temerature Controller  0.400C",Electrical,,,,,6.00,Pcs,
"Temerature Controller  220v AC",Electrical,,,,,2.00,Pcs,
"Temerature Controller   SMALL 220v AC",Electrical,,,,,6.00,Pcs,
"Temerature Controller  ",Electrical,,,,,13.00,Pcs,
"Tube Light 18W",Electrical,,,,,66.00,Pcs,
"Tube Light 20W",Electrical,,,,,16.00,Pcs,
"Twin Panel Light  Ac 105-300v ",Electrical,,,,,6.00,Pcs,
"LED Lighting 10w",Electrical,,,,,2.00,Pcs,
"LED Flood Light  big ",Electrical,,,,,1.00,Pcs,
"LED Flood Light  Small ",Electrical,,,,,9.00,Pcs,
"LED Light for Mosque",Electrical,,,,,37.00,Pcs,
"LED Light 50W",Electrical,,,,,4.00,Pcs,
"LED Light 30W",Electrical,,,,,4.00,Pcs,
"One Gang Box ",Electrical,,,,,12.00,Pcs,
"Two  Gang Box ",Electrical,,,,,6.00,Pcs,
"Pressure Regulating Filter",Electrical,,,,,15.00,Pcs,
"Contactor 24 DC ",Electrical,,,,,1.00,Pcs,
"Gum tape /one side tape",Stationary,,,,,0.00,Pcs,
"Both side Tape",Stationary,,,,,0.00,Pcs,
"Block Tape ",Stationary,,,,,0.00,Pcs,
"PP Belt(Strapping Tape )",Stationary,,,,,0.00,Pcs,
"Band /Metal Clip ",Stationary,,,,,0.00,Pcs,
"Rubber Band ",Stationary,,,,,0.00,Pcs,
"Paper Bobin ",Stationary,,,,,0.00,Pcs,
"Corrugated Carton",Stationary,,,,,0.00,Pcs,
"Maskin Tape ",Stationary,,,,,0.00,Pcs,
"Carate Paper ",Stationary,,,,,0.00,Pcs,
"Stock Register Book ",Stationary,,,,,0.00,Pcs,
"Normal Register Book ",Stationary,,,,,0.00,Pcs,
"Printed Paper (A4 Size )",Stationary,,,,,0.00,Pcs,
"Printed Paper (Legal Size )",Stationary,,,,,0.00,Pcs,
"Carbon Paper ",Stationary,,,,,0.00,Set,
"Red Leaf Board Marker Pen ",Stationary,,,,,0.00,Pcs,
"Colour /Marking Pencil Cut pencil",Stationary,,,,,0.00,Pcs,
"Magerment Tape ",Stationary,,,,,0.00,Pcs,
"Ball Pen ",Stationary,,,,,0.00,Pcs,
"High Light Pen ",Stationary,,,,,0.00,Pcs,
"Calculator ",Stationary,,,,,0.00,Pcs,
"Stapaler Machine ",Stationary,,,,,0.00,Pcs,
"Stapaler Pin",Stationary,,,,,0.00,Pcs,
"Chikon Thread ",Stationary,,,,,0.00,Pcs,
"Pin Remover ",Stationary,,,,,0.00,Pcs,
"Punch Machine",Stationary,,,,,0.00,Pcs,
"Office File ",Stationary,,,,,0.00,Pcs,
"Ring File ",Stationary,,,,,0.00,Pcs,
"Super Glue",Stationary,,,,,0.00,Pcs,
"Computer Cartridge",Stationary,,,,,0.00,Pcs,
"MRR Book ",Stationary,,,,,0.00,Pcs,
"SR Book ",Stationary,,,,,0.00,Pcs,
"Challan Book ",Stationary,,,,,0.00,Pcs,
"Gate Pass Book ",Stationary,,,,,0.00,Pcs,
"Labour Gate Pass ",Stationary,,,,,0.00,Pcs,
"Return Gate Pass",Stationary,,,,,0.00,Pcs,
"KHAM ",Stationary,,,,,0.00,Pcs,
"Banding Clip",Stationary,,,,,0.00,Pcs,
"Tapeplan test Report book",Stationary,,,,,0.00,Pcs,
"Store Purchase Book ",Stationary,,,,,0.00,Pcs,
"Floor Brash ",Stationary,,,,,0.00,Pcs,
"Chalk Pencil",Stationary,,,,,0.00,Pcs,
"Plastic Sandle (juta)",Stationary,,,,,0.00,Pcs,
Odonil,Stationary,,,,,0.00,Pcs,
"Anticutter Blade with Frame",Stationary,,,,,0.00,Pcs,
"Anticutter Blade ",Stationary,,,,,0.00,Pcs,
"Sharp Blade ",Stationary,,,,,0.00,Pcs,
"Wheel powder ",Stationary,,,,,0.00,Pcs,
