76,BOOm Holder Plastic,Pcs,0,,,,0,,,,,,,,,,,,
77,S.S Plate,Pcs,0,,,,0,,,,,,,,,,,,
78,S.S Cable Tray,Pcs,0,,,,0,,,,,,,,,,,,
79,S.S Shaft,Pcs,0,,,,0,,,,,,,,,,,,
80,Shaft (U-3),Pcs,0,,,,0,,,,,,,,,,,,
81,Stopper Roller LSL-6,Pcs,0,,,,0,,,,,,,,,,,,
82,Excenter Roller (610-620-FSN-4),Pcs,0,,,,0,,,,,,,,,,,,
83,Warp Guide,Pcs,0,,,,0,,,,,,,,,,,,
84,Connecting Plate ,Pcs,0,,,,0,,,,,,,,,,,,
85,Choncoid Roller LSL-6,Pcs,0,,,,0,,,,,,,,,,,,
86,Shuttle Wheel (LSL-6),Pcs,0,,,,0,,,,,,,,,,,,
87,Chonchoid Roller (610-620-FSN-4),Pcs,0,,,,0,,,,,,,,,,,,
88,Shuttle Wheeel(610-620-FSN-4),Pcs,0,,,,0,,,,,,,,,,,,
89,Warp Compensator,Pcs,0,,,,0,,,,,,,,,,,,
90,Swinging Lever,Pcs,0,,,,0,,,,,,,,,,,,
91,Spacer,Pcs,0,,,,0,,,,,,,,,,,,
92,M.S Roll Pins,Pcs,0,,,,0,,,,,,,,,,,,
93,Eccentric roller Nova-6,Pcs,0,,,,0,,,,,,,,,,,,
94,Lever Holder,Pcs,0,,,,0,,,,,,,,,,,,
95,Upper Headle Belt,Pcs,0,,,,0,,,,,,,,,,,,
96,Lower Headle Belt,Pcs,0,,,,0,,,,,,,,,,,,
97,Jockey Lever LSL-6,Pcs,0,,,,0,,,,,,,,,,,,
98,Bearrring Block Rear,Pcs,0,,,,0,,,,,,,,,,,,
99,Ink Motor,Pcs,0,,,,0,,,,,,,,,,,,
100,Koraj upper,Pcs,0,,,,0,,,,,,,,,,,,
101,Koraj Lower,Pcs,0,,,,0,,,,,,,,,,,,
102,Hoose Clamp,Pcs,0,,,,0,,,,,,,,,,,,
103,Printing M/C Tray,Pcs,0,,,,0,,,,,,,,,,,,
104,P.V.C Fether,Pcs,0,,,,0,,,,,,,,,,,,
